Speleothem_ID,distance_mm,Age_kyBP,d18O,d13C,Ref
ELC-B,0,4.28,-5.84,-7.65,Cheng et al. 2013; Nat. Comms
ELC-B,1.9,4.31,-4.82,-5.9,Cheng et al. 2013; Nat. Comms
ELC-B,3.8,4.35,-5.97,-6.77,Cheng et al. 2013; Nat. Comms
ELC-B,5.7,4.38,-5.95,-7.19,Cheng et al. 2013; Nat. Comms
ELC-B,7.6,4.41,-6.29,-8.84,Cheng et al. 2013; Nat. Comms
ELC-B,9.4,4.44,-6.12,-8.15,Cheng et al. 2013; Nat. Comms
ELC-B,11.3,4.48,-6.91,-7.21,Cheng et al. 2013; Nat. Comms
ELC-B,13.2,4.51,-6.9,-7.51,Cheng et al. 2013; Nat. Comms
ELC-B,15.1,4.54,-6.24,-7.55,Cheng et al. 2013; Nat. Comms
ELC-B,17,4.57,-5.92,-7.5,Cheng et al. 2013; Nat. Comms
ELC-B,18.7,4.6,-5.4,-7.02,Cheng et al. 2013; Nat. Comms
ELC-B,20.3,4.63,-6.58,-7.4,Cheng et al. 2013; Nat. Comms
ELC-B,22,4.66,-6.23,-7.18,Cheng et al. 2013; Nat. Comms
ELC-B,23.6,4.68,-5.93,-7.19,Cheng et al. 2013; Nat. Comms
ELC-B,25.3,4.71,-6.53,-7.36,Cheng et al. 2013; Nat. Comms
ELC-B,26.9,4.74,-5.93,-7.11,Cheng et al. 2013; Nat. Comms
ELC-B,28.6,4.77,-4.74,-6.74,Cheng et al. 2013; Nat. Comms
ELC-B,30.2,4.8,-6.22,-7.45,Cheng et al. 2013; Nat. Comms
ELC-B,31.9,4.83,-5.91,-7.44,Cheng et al. 2013; Nat. Comms
ELC-B,33.5,5.24,-6.24,-8.92,Cheng et al. 2013; Nat. Comms
ELC-B,34,5.37,-5.8,-8.26,Cheng et al. 2013; Nat. Comms
ELC-B,34.5,5.49,-6.06,-8.53,Cheng et al. 2013; Nat. Comms
ELC-B,35,5.62,-6.26,-8.54,Cheng et al. 2013; Nat. Comms
ELC-B,35.5,5.75,-5.88,-7.71,Cheng et al. 2013; Nat. Comms
ELC-B,36,5.87,-5.98,-7.96,Cheng et al. 2013; Nat. Comms
ELC-B,36.5,6.07,-5.79,-7.81,Cheng et al. 2013; Nat. Comms
ELC-B,37,6.26,-5,-7.48,Cheng et al. 2013; Nat. Comms
ELC-B,37.5,6.46,-5.32,-6.44,Cheng et al. 2013; Nat. Comms
ELC-B,38,6.66,-5.27,-6.43,Cheng et al. 2013; Nat. Comms
ELC-B,38.5,6.85,-5.59,-7.33,Cheng et al. 2013; Nat. Comms
ELC-B,39,7.03,-5.87,-6.66,Cheng et al. 2013; Nat. Comms
ELC-B,39.4,7.21,-5.55,-7.9,Cheng et al. 2013; Nat. Comms
ELC-B,39.9,7.39,-6.27,-8.11,Cheng et al. 2013; Nat. Comms
ELC-B,40.3,7.56,-5.48,-7.68,Cheng et al. 2013; Nat. Comms
ELC-B,40.8,7.74,-5.13,-7.21,Cheng et al. 2013; Nat. Comms
ELC-B,41.2,7.92,-5.83,-7.95,Cheng et al. 2013; Nat. Comms
ELC-B,41.7,8.09,-5.56,-7.76,Cheng et al. 2013; Nat. Comms
ELC-B,42.1,8.27,-5.41,-6.98,Cheng et al. 2013; Nat. Comms
