year_BP,d18O,d13C,REF
714,-5.63,-8.56,"Wang et al 2017, Nature"
718,-6.18,-9.08,"Wang et al 2017, Nature"
722,-6.02,-8.55,"Wang et al 2017, Nature"
726,-5.57,-7.97,"Wang et al 2017, Nature"
730,-6.09,-8.57,"Wang et al 2017, Nature"
734,-6.22,-8.25,"Wang et al 2017, Nature"
738,-6.6,-8.94,"Wang et al 2017, Nature"
741,-6.3,-8.6,"Wang et al 2017, Nature"
745,-6.32,-8.54,"Wang et al 2017, Nature"
749,-6.48,-8.4,"Wang et al 2017, Nature"
753,-5.96,-7.71,"Wang et al 2017, Nature"
757,-6.45,-7.93,"Wang et al 2017, Nature"
761,-6.17,-7.63,"Wang et al 2017, Nature"
765,-6.58,-8.05,"Wang et al 2017, Nature"
768,-6.29,-7.59,"Wang et al 2017, Nature"
772,-6.36,-7.58,"Wang et al 2017, Nature"
776,-6.51,-8.57,"Wang et al 2017, Nature"
780,-6,-7.91,"Wang et al 2017, Nature"
784,-5.9,-7.71,"Wang et al 2017, Nature"
788,-6.23,-8.28,"Wang et al 2017, Nature"
789,-6.17,-7.84,"Wang et al 2017, Nature"
790,-6.37,-7.93,"Wang et al 2017, Nature"
791,-5.92,-7.94,"Wang et al 2017, Nature"
792,-6.24,-7.53,"Wang et al 2017, Nature"
793,-6.6,-8.06,"Wang et al 2017, Nature"
794,-6.7,-8.11,"Wang et al 2017, Nature"
795,-6.61,-8.44,"Wang et al 2017, Nature"
796,-7.03,-9.04,"Wang et al 2017, Nature"
797,-7.13,-8.75,"Wang et al 2017, Nature"
798,-6.77,-8.51,"Wang et al 2017, Nature"
799,-6.89,-8.98,"Wang et al 2017, Nature"
800,-6.87,-9.52,"Wang et al 2017, Nature"
801,-6.88,-9.79,"Wang et al 2017, Nature"
802,-6.88,-9.49,"Wang et al 2017, Nature"
803,-6.72,-9.49,"Wang et al 2017, Nature"
804,-6.87,-9.32,"Wang et al 2017, Nature"
805,-6.49,-9.67,"Wang et al 2017, Nature"
806,-6.29,-7.99,"Wang et al 2017, Nature"
807,-6.46,-9.62,"Wang et al 2017, Nature"
820,-7.19,-10.43,"Wang et al 2017, Nature"
832,-7.29,-9.98,"Wang et al 2017, Nature"
845,-7.34,-9.97,"Wang et al 2017, Nature"
857,-7.43,-9.76,"Wang et al 2017, Nature"
870,-6.86,-9.91,"Wang et al 2017, Nature"
882,-6.96,-9.83,"Wang et al 2017, Nature"
895,-6.7,-9.97,"Wang et al 2017, Nature"
907,-6.72,-9.89,"Wang et al 2017, Nature"
920,-6.92,-9.43,"Wang et al 2017, Nature"
932,-6.71,-9.72,"Wang et al 2017, Nature"
944,-6.8,-10.14,"Wang et al 2017, Nature"
957,-6.84,-10.11,"Wang et al 2017, Nature"
969,-6.71,-9.99,"Wang et al 2017, Nature"
982,-7.08,-9.85,"Wang et al 2017, Nature"
994,-6.49,-9.63,"Wang et al 2017, Nature"
1007,-7.06,-10.1,"Wang et al 2017, Nature"
1019,-6.82,-10.34,"Wang et al 2017, Nature"
