Speleothem_ID,age_ky,d18O,Ref
RN4,4.447,-3.49865,Cruz et al. 2009; Nat. Geosci
RN4,4.474,-4.01183,Cruz et al. 2009; Nat. Geosci
RN4,4.5,-4.18028,Cruz et al. 2009; Nat. Geosci
RN4,4.526,-4.32967,Cruz et al. 2009; Nat. Geosci
RN4,4.552,-4.00212,Cruz et al. 2009; Nat. Geosci
RN4,4.579,-4.37654,Cruz et al. 2009; Nat. Geosci
RN4,4.605,-4.50187,Cruz et al. 2009; Nat. Geosci
RN4,4.631,-3.75183,Cruz et al. 2009; Nat. Geosci
RN4,4.657,-4.064,Cruz et al. 2009; Nat. Geosci
RN4,4.684,-5.15895,Cruz et al. 2009; Nat. Geosci
RN4,4.71,-4.98742,Cruz et al. 2009; Nat. Geosci
RN4,4.736,-5.49318,Cruz et al. 2009; Nat. Geosci
RN4,4.762,-5.69547,Cruz et al. 2009; Nat. Geosci
RN4,4.789,-4.66731,Cruz et al. 2009; Nat. Geosci
RN4,4.815,-4.79552,Cruz et al. 2009; Nat. Geosci
RN4,4.841,-4.22806,Cruz et al. 2009; Nat. Geosci
RN4,4.867,-4.37531,Cruz et al. 2009; Nat. Geosci
RN4,4.894,-4.97684,Cruz et al. 2009; Nat. Geosci
RN4,4.92,-4.06561,Cruz et al. 2009; Nat. Geosci
RN4,4.946,-4.20306,Cruz et al. 2009; Nat. Geosci
RN4,4.972,-4.97523,Cruz et al. 2009; Nat. Geosci
RN4,4.999,-6.27172,Cruz et al. 2009; Nat. Geosci
RN4,5.025,-5.72715,Cruz et al. 2009; Nat. Geosci
RN4,5.051,-4.97695,Cruz et al. 2009; Nat. Geosci
RN4,5.077,-5.17577,Cruz et al. 2009; Nat. Geosci
RN4,5.104,-6.7447,Cruz et al. 2009; Nat. Geosci
RN4,5.13,-5.88186,Cruz et al. 2009; Nat. Geosci
RN4,5.156,-5.75468,Cruz et al. 2009; Nat. Geosci
RN4,5.182,-5.96659,Cruz et al. 2009; Nat. Geosci
RN4,5.212,-6.72114,Cruz et al. 2009; Nat. Geosci
RN4,5.235,-4.84356,Cruz et al. 2009; Nat. Geosci
RN4,5.261,-7.88126,Cruz et al. 2009; Nat. Geosci
RN4,5.287,-5.75465,Cruz et al. 2009; Nat. Geosci
RN4,5.314,-5.70646,Cruz et al. 2009; Nat. Geosci
RN4,5.34,-5.26593,Cruz et al. 2009; Nat. Geosci
RN4,5.366,-5.95683,Cruz et al. 2009; Nat. Geosci
RN4,5.392,-7.05053,Cruz et al. 2009; Nat. Geosci
RN4,5.419,-7.19131,Cruz et al. 2009; Nat. Geosci
RN4,5.445,-6.07381,Cruz et al. 2009; Nat. Geosci
RN4,5.471,-5.93097,Cruz et al. 2009; Nat. Geosci
RN4,5.497,-5.78695,Cruz et al. 2009; Nat. Geosci
RN4,5.523,-7.2054,Cruz et al. 2009; Nat. Geosci
RN4,5.55,-5.94357,Cruz et al. 2009; Nat. Geosci
RN4,5.576,-6.25256,Cruz et al. 2009; Nat. Geosci
RN4,5.602,-6.05604,Cruz et al. 2009; Nat. Geosci
RN4,5.628,-6.32911,Cruz et al. 2009; Nat. Geosci
RN4,5.655,-5.8936,Cruz et al. 2009; Nat. Geosci
RN4,5.681,-4.86513,Cruz et al. 2009; Nat. Geosci
RN4,5.707,-6.044,Cruz et al. 2009; Nat. Geosci
RN4,5.733,-5.26751,Cruz et al. 2009; Nat. Geosci
RN4,5.76,-7.14377,Cruz et al. 2009; Nat. Geosci
RN4,5.786,-7.38981,Cruz et al. 2009; Nat. Geosci
RN4,5.812,-5.29902,Cruz et al. 2009; Nat. Geosci
RN4,5.838,-4.83753,Cruz et al. 2009; Nat. Geosci
RN4,5.865,-5.57626,Cruz et al. 2009; Nat. Geosci
RN4,5.891,-6.25498,Cruz et al. 2009; Nat. Geosci
RN4,5.917,-5.71286,Cruz et al. 2009; Nat. Geosci
RN4,5.943,-6.36523,Cruz et al. 2009; Nat. Geosci
RN4,5.97,-5.67755,Cruz et al. 2009; Nat. Geosci
RN4,5.996,-5.96512,Cruz et al. 2009; Nat. Geosci
RN4,6.022,-5.19081,Cruz et al. 2009; Nat. Geosci
RN4,6.048,-5.30515,Cruz et al. 2009; Nat. Geosci
RN4,6.075,-5.85562,Cruz et al. 2009; Nat. Geosci
RN4,6.101,-5.37931,Cruz et al. 2009; Nat. Geosci
RN4,6.127,-5.96659,Cruz et al. 2009; Nat. Geosci
RN4,6.153,-6.5024,Cruz et al. 2009; Nat. Geosci
RN4,6.18,-6.17707,Cruz et al. 2009; Nat. Geosci
RN4,6.206,-6.14212,Cruz et al. 2009; Nat. Geosci
RN4,6.232,-6.02513,Cruz et al. 2009; Nat. Geosci
RN4,6.258,-6.11868,Cruz et al. 2009; Nat. Geosci
RN4,6.285,-6.14157,Cruz et al. 2009; Nat. Geosci
RN4,6.311,-5.84809,Cruz et al. 2009; Nat. Geosci
RN4,6.337,-6.78829,Cruz et al. 2009; Nat. Geosci
RN4,6.363,-5.75959,Cruz et al. 2009; Nat. Geosci
RN4,6.39,-5.4469,Cruz et al. 2009; Nat. Geosci
RN4,6.416,-5.84798,Cruz et al. 2009; Nat. Geosci
RN4,6.442,-5.85574,Cruz et al. 2009; Nat. Geosci
RN4,6.468,-4.99456,Cruz et al. 2009; Nat. Geosci
RN4,6.495,-6.22924,Cruz et al. 2009; Nat. Geosci
RN4,6.521,-6.6125,Cruz et al. 2009; Nat. Geosci
RN4,6.547,-5.81948,Cruz et al. 2009; Nat. Geosci
RN4,6.573,-6.13979,Cruz et al. 2009; Nat. Geosci
RN4,6.6,-6.00926,Cruz et al. 2009; Nat. Geosci
RN4,6.626,-5.5636,Cruz et al. 2009; Nat. Geosci
RN4,6.652,-5.81017,Cruz et al. 2009; Nat. Geosci
RN4,6.678,-8.07684,Cruz et al. 2009; Nat. Geosci
RN4,6.705,-6.18495,Cruz et al. 2009; Nat. Geosci
RN4,6.731,-5.07726,Cruz et al. 2009; Nat. Geosci
RN4,6.757,-6.57386,Cruz et al. 2009; Nat. Geosci
RN4,6.783,-5.89165,Cruz et al. 2009; Nat. Geosci
RN4,6.81,-6.23478,Cruz et al. 2009; Nat. Geosci
RN4,6.836,-5.5792,Cruz et al. 2009; Nat. Geosci
RN4,6.862,-7.11062,Cruz et al. 2009; Nat. Geosci
RN4,6.888,-4.91418,Cruz et al. 2009; Nat. Geosci
RN4,6.915,-6.79335,Cruz et al. 2009; Nat. Geosci
RN4,6.941,-6.81963,Cruz et al. 2009; Nat. Geosci
RN4,6.967,-6.3474,Cruz et al. 2009; Nat. Geosci
RN4,6.993,-7.94428,Cruz et al. 2009; Nat. Geosci
RN4,7.02,-6.52157,Cruz et al. 2009; Nat. Geosci
RN4,7.046,-5.00173,Cruz et al. 2009; Nat. Geosci
RN4,7.072,-4.88775,Cruz et al. 2009; Nat. Geosci
RN4,7.098,-6.88344,Cruz et al. 2009; Nat. Geosci
RN4,7.125,-6.06665,Cruz et al. 2009; Nat. Geosci
RN4,7.151,-6.22796,Cruz et al. 2009; Nat. Geosci
RN4,7.177,-7.16582,Cruz et al. 2009; Nat. Geosci
RN4,7.203,-6.21896,Cruz et al. 2009; Nat. Geosci
RN4,7.234,-7.70264,Cruz et al. 2009; Nat. Geosci
RN4,7.255,-7.73029,Cruz et al. 2009; Nat. Geosci
RN4,7.277,-7.65118,Cruz et al. 2009; Nat. Geosci
RN4,7.299,-7.04761,Cruz et al. 2009; Nat. Geosci
RN4,7.321,-6.05805,Cruz et al. 2009; Nat. Geosci
RN4,7.343,-6.17111,Cruz et al. 2009; Nat. Geosci
RN4,7.365,-6.65157,Cruz et al. 2009; Nat. Geosci
RN4,7.387,-6.08635,Cruz et al. 2009; Nat. Geosci
RN4,7.409,-6.14843,Cruz et al. 2009; Nat. Geosci
RN4,7.431,-7.32077,Cruz et al. 2009; Nat. Geosci
RN4,7.453,-5.66264,Cruz et al. 2009; Nat. Geosci
RN4,7.475,-6.54072,Cruz et al. 2009; Nat. Geosci
RN4,7.497,-7.92022,Cruz et al. 2009; Nat. Geosci
RN4,7.519,-6.55896,Cruz et al. 2009; Nat. Geosci
RN4,7.541,-7.28616,Cruz et al. 2009; Nat. Geosci
RN4,7.563,-7.34765,Cruz et al. 2009; Nat. Geosci
RN4,7.585,-7.02088,Cruz et al. 2009; Nat. Geosci
RN4,7.607,-6.53465,Cruz et al. 2009; Nat. Geosci
RN4,7.629,-7.54438,Cruz et al. 2009; Nat. Geosci
RN4,7.651,-7.19078,Cruz et al. 2009; Nat. Geosci
RN4,7.673,-6.03226,Cruz et al. 2009; Nat. Geosci
RN4,7.695,-5.67131,Cruz et al. 2009; Nat. Geosci
RN4,7.717,-6.06009,Cruz et al. 2009; Nat. Geosci
RN4,7.739,-6.22392,Cruz et al. 2009; Nat. Geosci
RN4,7.761,-6.92363,Cruz et al. 2009; Nat. Geosci
RN4,7.783,-7.28899,Cruz et al. 2009; Nat. Geosci
RN4,7.805,-5.86622,Cruz et al. 2009; Nat. Geosci
RN4,7.827,-5.91269,Cruz et al. 2009; Nat. Geosci
RN4,7.849,-6.02691,Cruz et al. 2009; Nat. Geosci
RN4,7.871,-5.49806,Cruz et al. 2009; Nat. Geosci
RN4,7.893,-5.67493,Cruz et al. 2009; Nat. Geosci
RN4,7.915,-5.43315,Cruz et al. 2009; Nat. Geosci
RN4,7.937,-6.47598,Cruz et al. 2009; Nat. Geosci
RN4,7.959,-6.51599,Cruz et al. 2009; Nat. Geosci
RN4,7.981,-6.50464,Cruz et al. 2009; Nat. Geosci
RN4,8.003,-6.7485,Cruz et al. 2009; Nat. Geosci
RN4,8.025,-5.31706,Cruz et al. 2009; Nat. Geosci
RN4,8.046,-5.10091,Cruz et al. 2009; Nat. Geosci
RN4,8.068,-6.29123,Cruz et al. 2009; Nat. Geosci
RN4,8.09,-6.13121,Cruz et al. 2009; Nat. Geosci
RN4,8.112,-5.50341,Cruz et al. 2009; Nat. Geosci
RN4,8.135,-6.49322,Cruz et al. 2009; Nat. Geosci
RN4,8.153,-6.11147,Cruz et al. 2009; Nat. Geosci
RN4,8.172,-6.65242,Cruz et al. 2009; Nat. Geosci
RN4,8.191,-6.81175,Cruz et al. 2009; Nat. Geosci
RN4,8.209,-8.06611,Cruz et al. 2009; Nat. Geosci
RN4,8.228,-6.77223,Cruz et al. 2009; Nat. Geosci
RN4,8.247,-5.97992,Cruz et al. 2009; Nat. Geosci
RN4,8.266,-5.75858,Cruz et al. 2009; Nat. Geosci
RN4,8.285,-6.05329,Cruz et al. 2009; Nat. Geosci
RN4,8.304,-4.92345,Cruz et al. 2009; Nat. Geosci
RN4,8.323,-6.74943,Cruz et al. 2009; Nat. Geosci
RN4,8.342,-7.7,Cruz et al. 2009; Nat. Geosci
RN4,8.36,-5.91229,Cruz et al. 2009; Nat. Geosci
RN4,8.379,-7.3681,Cruz et al. 2009; Nat. Geosci
RN4,8.398,-4.80379,Cruz et al. 2009; Nat. Geosci
RN4,8.417,-5.76454,Cruz et al. 2009; Nat. Geosci
RN4,8.436,-6.29236,Cruz et al. 2009; Nat. Geosci
RN4,8.455,-5.65394,Cruz et al. 2009; Nat. Geosci
RN4,8.474,-4.72923,Cruz et al. 2009; Nat. Geosci
RN4,8.492,-5.15598,Cruz et al. 2009; Nat. Geosci
RN4,8.511,-6.07213,Cruz et al. 2009; Nat. Geosci
RN4,8.53,-5.94386,Cruz et al. 2009; Nat. Geosci
RN4,8.549,-5.4311,Cruz et al. 2009; Nat. Geosci
RN4,8.568,-6.30654,Cruz et al. 2009; Nat. Geosci
RN4,8.587,-6.54121,Cruz et al. 2009; Nat. Geosci
RN4,8.606,-5.89351,Cruz et al. 2009; Nat. Geosci
RN4,8.625,-5.67289,Cruz et al. 2009; Nat. Geosci
RN4,8.643,-7.42658,Cruz et al. 2009; Nat. Geosci
RN4,8.662,-6.99946,Cruz et al. 2009; Nat. Geosci
RN4,8.681,-5.9466,Cruz et al. 2009; Nat. Geosci
RN4,8.7,-5.80137,Cruz et al. 2009; Nat. Geosci
RN4,8.719,-5.82664,Cruz et al. 2009; Nat. Geosci
RN4,8.738,-6.09728,Cruz et al. 2009; Nat. Geosci
RN4,8.775,-8.39573,Cruz et al. 2009; Nat. Geosci
RN4,8.794,-7.24064,Cruz et al. 2009; Nat. Geosci
RN4,8.813,-6.2305,Cruz et al. 2009; Nat. Geosci
RN4,8.832,-6.28084,Cruz et al. 2009; Nat. Geosci
RN4,8.851,-7.14857,Cruz et al. 2009; Nat. Geosci
RN4,8.87,-6.48901,Cruz et al. 2009; Nat. Geosci
RN4,8.889,-6.67487,Cruz et al. 2009; Nat. Geosci
RN4,8.908,-6.44402,Cruz et al. 2009; Nat. Geosci
RN4,8.926,-7.0481,Cruz et al. 2009; Nat. Geosci
RN4,8.945,-6.68344,Cruz et al. 2009; Nat. Geosci
RN4,8.964,-5.29529,Cruz et al. 2009; Nat. Geosci
