Pub_ID,Pub_year,Journal,timeslice,Lat,Lon,Pollen_or_Iso,Proxy_group,Proxy_type,WetDry,Site_name,Additional_notes,Paper,Notes,Catchment_Integrated_Flag,CaveSite
Baker01,2001,Science,LGM,-15.872,-69.354,,Lake,benthic_diat_perc,W,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,LGM,-15.872,-69.354,,Lake,freshw_plank_perc,W,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,LGM,-15.872,-69.354,,Lake,wt_perc_carb,W,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,LGM,-15.872,-69.354,,Lake,saline_diat_perc,W,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,LGM,-15.872,-69.354,,Lake,d13C,W,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,MH,-15.872,-69.354,,Lake,benthic_diat_perc,D,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,MH,-15.872,-69.354,,Lake,freshw_plank_perc,D,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,MH,-15.872,-69.354,,Lake,wt_perc_carb,D,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,MH,-15.872,-69.354,,Lake,saline_diat_perc,D,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01,2001,Science,MH,-15.872,-69.354,,Lake,d13C,D,Lake Titicaca,Lat lon approximated at lake -- three different cores are used in the study (three sites),"Baker et al., 2001",,,
Baker01nat,2001,Nature,LGM,-20.16,-67.4,,Lake,nat_gamma_rad,W,Salar de Uyuni,Lat lon approximated at lake,"Baker et al., 2001, nature",,,
Baker01nat,2001,Nature,MH,-20.16,-67.4,,Lake,nat_gamma_rad,D,Salar de Uyuni,Lat lon approximated at lake,"Baker et al., 2001, nature",,,
MB00,2000,Science,MH,5.75,-49.1,iso,TerrRunoff,marine planktic forams,W,ODP 942,,"Maslin and Burns, 2000",tracks changes in runoff d18O,X,
HM99,1999,Quaternary Research,LGM,5.21,-47.03,pollen,Pollen,pollen,D,ODP 932,Not dry enough for refuge hypothesis but still argue a small drop in rainfall so we have to put it as dry ,"Haberle and Maslin, 2000",,,
PTR00,2000,Science,LGM,10.17,-65.17,,TerrRunoff,color reflectance,D,ODP 1002,,"Peterson et al., 2000",,X,
RAM03,2003,EPSL,LGM,-9.09,-77.59,iso,IceCore,IceCore,W,Huascaran ice core,use a modern scaling to back out LGM precip,"Ramirez et al., 2003",increase in mtn base d18O (after tigre perdido) which is increasing due to aridification to match the more enriched upstream d18O,,
RAM03,2003,EPSL,LGM,-18.1,-68.88,iso,IceCore,IceCore,W,Sajama ice core,use a modern scaling to back out LGM precip,"Ramirez et al., 2003",increase in mtn base d18O (after tigre perdido) which is increasing due to aridification to match the more enriched upstream d18O,,
HUAG01,2001,Science,MH,10.17,-65.17,,TerrRunoff,elemental concentrations ,W,ODP 1002,,"Huag et al., 2001",,X,
ARZ98,1998,Quaternary Research,LGM,-3.36,-37.72,,TerrRunoff,wt_perc_carb,W,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,LGM,-3.36,-37.72,,TerrRunoff,elemental concentrations ,W,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,LGM,-3.36,-37.72,,TerrRunoff,taxa abundance,W,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,LGM,-3.36,-37.72,,TerrRunoff,marine planktic forams,W,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,MH,-3.36,-37.72,,TerrRunoff,wt_perc_carb,D,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,MH,-3.36,-37.72,,TerrRunoff,elemental concentrations ,D,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,MH,-3.36,-37.72,,TerrRunoff,taxa abundance,D,GeoB-3104-1,,"Arz et al., 1998",,X,
ARZ98,1998,Quaternary Research,MH,-3.36,-37.72,,TerrRunoff,marine planktic forams,D,GeoB-3104-1,,"Arz et al., 1998",,X,
AUSM01,2001,Quaternary Research,LGM,-10.16,-40.86,,TerrRunoff,travertine deposits and subaqueous speleothems,W,Toca de Boa Vista cave,,"Auler and Smart, 2001",,,
AUSM01,2001,Quaternary Research,MH,-10.16,-40.86,,TerrRunoff,travertine deposits and subaqueous speleothems,D,Toca de Boa Vista cave,,"Auler and Smart, 2001",,,
deM00,2000,Science,MH,20.75,-18.58,,TerrRunoff,terrigenous fraction,W,ODP 658C,,"deMenocal et al., 2000",,X,
LEY85,1985,Ecology,MH,10.18,-67.71,,Lake,saline and pollen data,W,Lake Valencia,,"Leyden, 1985","Leyden data do not extend older than 13 ka (but still referenced for LGM in Maslin et al., 2011…(?))",,
THOM98,1998,Science,LGM,-18.1,-68.88,iso,IceCore,IceCore,W,Sajama ice core,,"Thompson et al., 1998",increase from LGM to early Hol (tracking tigre perdido) but at larger scale than tigre perdido,,
THOM98,1998,Science,MH,-18.1,-68.88,iso,IceCore,IceCore,D,Sajama ice core,,"Thompson et al., 1998",increase from LGM to early Hol (tracking tigre perdido) but at larger scale than tigre perdido,,
THOM98,1998,Science,MH,-18.1,-68.88,,IceCore,accum_dust_anions,D,Sajama ice core,,"Thompson et al., 1998",,,
THOM98,1998,Science,LGM,-18.1,-68.88,,IceCore,accum_dust_anions,W,Sajama ice core,LGM is not strictly wetter but similar to modern values of proxies (but peak wet stage is late glacial),"Thompson et al., 1998",,,
SCH04,2004,Nature,LGM,12.75,-78.83,iso,Salinity,d18O_oceanSalin,D,ODP 999A,isotope data used to calculate salinity (with MgCa),"Schmidt et al., 2004","I think these isotope data do track runoff plus possible decrease in source moisture d18O (shifts ~2 per mille negative, about double what happens at Amazon Fan)",,
SCH04,2004,Nature,MH,12.75,-78.83,iso,Salinity,d18O_oceanSalin,W,ODP 999A,isotope data used to calculate salinity (with MgCa),"Schmidt et al., 2004","I think these isotope data do track runoff plus possible decrease in source moisture d18O (shifts ~2 per mille negative, about double what happens at Amazon Fan)",,
SCH04,2004,Nature,LGM,11.56,-78.41,iso,Salinity,d18O_oceanSalin,D,VM28-122,isotope data used to calculate salinity (with MgCa),"Schmidt et al., 2004","I think these isotope data do track runoff plus possible decrease in source moisture d18O (shifts ~2 per mille negative, about double what happens at Amazon Fan)",,
SCH04,2004,Nature,MH,11.56,-78.41,iso,Salinity,d18O_oceanSalin,W,VM28-122,isotope data used to calculate salinity (with MgCa),"Schmidt et al., 2004","I think these isotope data do track runoff plus possible decrease in source moisture d18O (shifts ~2 per mille negative, about double what happens at Amazon Fan)",,
ARB13,2013,Nature Geoscience,LGM,-2.18,-11.9,iso,Salinity,seawaterd18O and MgCa,W,RC24-11,,"Arbuszewski et al., 2013",Probably tracks surface salinity because it goes the opposite direction of Amazon discharge (which may reflect source moisture over this location),,
ARB13,2013,Nature Geoscience,MH,-2.18,-11.9,iso,Salinity,seawaterd18O and MgCa,D,RC24-11,,"Arbuszewski et al., 2013",Probably tracks surface salinity because it goes the opposite direction of Amazon discharge (which may reflect source moisture over this location),,
ARB13,2013,Nature Geoscience,LGM,-0.2,-23.15,iso,Salinity,seawaterd18O and MgCa,W,VM30-40,,"Arbuszewski et al., 2013",Probably tracks surface salinity because it goes the opposite direction of Amazon discharge (which may reflect source moisture over this location),,
ARB13,2013,Nature Geoscience,MH,-0.2,-23.15,iso,Salinity,seawaterd18O and MgCa,D,VM30-40,,"Arbuszewski et al., 2013",Probably tracks surface salinity because it goes the opposite direction of Amazon discharge (which may reflect source moisture over this location),,
ARB13,2013,Nature Geoscience,LGM,1.367,-33.483,iso,Salinity,seawaterd18O and MgCa,W,VM25-59,,"Arbuszewski et al., 2013",Probably tracks surface salinity because it goes the opposite direction of Amazon discharge (which may reflect source moisture over this location),,
ARB13,2013,Nature Geoscience,MH,1.367,-33.483,iso,Salinity,seawaterd18O and MgCa,D,VM25-59,,"Arbuszewski et al., 2013",Probably tracks surface salinity because it goes the opposite direction of Amazon discharge (which may reflect source moisture over this location),,
ADK06,2013,Paleoceanography,MH,20.74,-18.58,,TerrRunoff,dust flux,W,ODP 658C,"NOTE dust flux isn't really a ""runoff"" proxy, we arbitrarily assign it for simplicity. This is compiled in Arbuszewski et al., 2013","Adkins et al., 2006",,X,
ADK06,2013,Paleoceanography,LGM,20.74,-18.58,,TerrRunoff,dust flux,D,ODP 658C,"NOTE dust flux isn't really a ""runoff"" proxy, we arbitrarily assign it for simplicity. This is compiled in Arbuszewski et al., 2013","Adkins et al., 2006",,X,
WELD05,2005,Geology,LGM,2.5,9.39,iso,TerrRunoff,seawaterd18O,D,GeoB4905-4,,"Weldeab et al., 2005",probably tracks surface salinity,X,
WELD05,2005,Geology,MH,2.5,9.39,iso,TerrRunoff,seawaterd18O,W,GeoB4905-4,,"Weldeab et al., 2005",probably tracks surface salinity,X,
SHAN12,2012,P-cubed,LGM,6.49,-1.42,,Lake,sedimentation,D,Lake Bosomtwe,,"Shanahan et al., 2012",,,
SHAN06,2006,P-cubed,MH,6.49,-1.42,,Lake,sedimentology,W,Lake Bosomtwe,,"Shanahan et al., 2006",,,
COL00,2000,Quaternary Science Reviews,LGM,0.043,-67.34,pollen,Pollen,pollen,W,Lake Pata,,"Colinvaux et al., 2000",,,
COL00,2000,Quaternary Science Reviews,LGM,-0.62,-77.07,pollen,Pollen,pollen,W,Mera,,"Colinvaux et al., 2000",,,
COL00,2000,Quaternary Science Reviews,LGM,-2.73,-77.76,pollen,Pollen,pollen,W,San Juan Bosco,,"Colinvaux et al., 2000",,,
COL00,2000,Quaternary Science Reviews,LGM,-8.13,-66.81,pollen,Pollen,pollen,W,Katira,,"Colinvaux et al., 2000",,,
COL00,2000,Quaternary Science Reviews,LGM,-5.29,-53.69,pollen,Pollen,pollen,W,Carajas,,"Colinvaux et al., 2000",,,
SIF03,2003,P-cubed,LGM,-2.96,-43.41,,Lake,sedimentalogy,D,Caco Lake,They note punctuated wet intervals during last glacial,"Sifeddine et al., 2003",,,
CRZ07,2007,GCA,LGM,-27.22,-49.16,,TerrRunoff,speleothem infiltration (hydrochemistry),W,Botuvera Cave,"See also Cruz et al., 2005; 06","Cruz et al., 2007",,,
CRZ07,2007,GCA,MH,-27.22,-49.16,,TerrRunoff,speleothem infiltration (hydrochemistry),D,Botuvera Cave,"See also Cruz et al., 2005; 06","Cruz et al., 2007",,,
CRZ07,2007,GCA,LGM,-24.53,-48.72,,TerrRunoff,speleothem infiltration (hydrochemistry),W,Santana Cave,"See also Cruz et al., 2005; 06","Cruz et al., 2007",,,
