Depth [m]	Age [ka BP]	Fe/Ca
0.02	1.141	0.0357
0.04	1.210	0.0353
0.06	1.284	0.0430
0.08	1.389	0.0401
0.10	1.509	0.0349
0.12	1.623	0.0362
0.14	1.810	0.0361
0.16	1.987	0.0337
0.18	2.204	0.0401
0.20	2.466	0.0364
0.22	2.717	0.0404
0.24	3.048	0.0400
0.26	3.328	0.0511
0.28	3.611	0.0456
0.30	3.908	0.0507
0.32	4.178	0.0519
0.34	4.450	0.0513
0.36	4.726	0.0552
0.38	4.967	0.0499
0.40	5.231	0.0793
0.42	5.502	0.0550
0.44	5.647	0.0590
0.46	5.807	0.0660
0.48	5.945	0.0671
0.50	6.064	0.0851
0.52	6.197	0.0674
0.54	6.288	0.0669
0.56	6.366	0.0699
0.58	6.450	0.0785
0.60	6.537	0.0820
0.62	6.620	0.1005
0.64	6.717	0.0835
0.66	6.811	0.1217
0.68	6.913	0.1096
0.70	7.016	0.1356
0.72	7.117	0.1413
0.74	7.220	0.1279
0.76	7.318	0.1233
0.78	7.419	0.1551
0.80	7.517	0.2344
0.82	7.611	0.2677
0.86	7.800	0.2469
0.88	7.892	0.2947
0.90	7.990	0.1725
0.92	8.076	0.3989
0.94	8.160	0.4165
0.96	8.247	0.4784
0.98	8.324	0.6055
1.00	8.397	0.7594
1.02	8.477	0.6322
1.04	8.544	0.5197
1.06	8.628	0.7839
1.08	8.713	0.5022
1.10	8.789	0.7412
1.12	8.859	0.6606
1.22	9.231	0.9557
1.24	9.312	0.9318
1.26	9.388	0.8799
1.28	9.469	1.0169
1.30	9.551	0.9342
1.32	9.627	0.9153
1.34	9.709	0.8115
1.36	9.791	0.8353
1.38	9.867	0.8732
1.40	9.952	0.9025
1.42	10.030	0.8512
1.44	10.116	0.7929
1.46	10.195	0.7630
1.48	10.275	0.6466
1.50	10.357	0.6348
1.52	10.436	0.7545
1.54	10.513	0.6880
1.56	10.590	0.6433
1.58	10.666	0.6203
1.60	10.738	0.7415
1.62	10.811	0.6028
1.64	10.876	0.7621
1.66	10.944	0.8008
1.68	11.012	0.8453
1.70	11.089	1.0117
1.72	11.154	0.9998
1.74	11.204	0.9707
1.76	11.252	1.0251
1.78	11.295	0.9508
1.80	11.342	1.2646
1.82	11.387	1.5159
1.86	11.481	2.2166
1.88	11.528	2.8574
1.90	11.580	0.9467
1.92	11.628	2.1732
1.94	11.675	3.0148
1.96	11.723	3.1595
1.98	11.768	3.2297
2.00	11.815	2.4516
2.02	11.861	2.7752
2.04	11.901	2.9581
2.06	11.937	3.9712
2.08	11.975	3.1584
2.10	12.012	4.1002
2.12	12.047	4.1088
2.14	12.083	4.3183
2.16	12.117	3.4367
2.18	12.151	3.5316
2.20	12.185	3.1596
2.22	12.217	4.2164
2.24	12.253	3.5976
2.26	12.289	3.6683
2.28	12.325	5.0032
2.30	12.361	3.5374
2.32	12.398	5.2484
2.34	12.434	5.1273
2.36	12.468	3.9491
2.38	12.503	4.4857
2.40	12.540	4.0486
2.42	12.572	4.5732
2.44	12.608	3.6108
2.46	12.643	3.2945
2.48	12.675	4.3253
2.50	12.710	5.2138
2.52	12.744	5.0243
2.54	12.778	5.7190
2.56	12.813	5.3730
2.58	12.845	3.5186
2.60	12.878	3.4303
2.62	12.912	3.2213
2.64	12.946	2.7070
2.66	12.981	2.1646
2.68	13.017	1.8182
2.70	13.051	1.6469
2.72	13.088	1.4577
2.74	13.128	1.5520
2.76	13.171	1.1704
2.78	13.226	0.8728
2.80	13.284	0.9141
2.82	13.335	1.0198
2.86	13.466	0.8167
2.88	13.536	0.6654
2.90	13.612	0.6407
2.92	13.680	0.6131
2.94	13.753	0.5977
2.96	13.826	0.6865
2.98	13.897	0.6670
3.00	13.970	0.6969
3.02	14.040	0.6372
3.04	14.102	0.6316
3.06	14.167	0.5943
3.08	14.226	0.8292
3.10	14.282	1.2551
3.12	14.344	1.7491
3.14	14.394	1.1737
3.16	14.440	2.1746
3.18	14.486	4.4403
3.20	14.530	6.2869
3.22	14.572	6.4659
3.24	14.614	4.8659
3.26	14.655	5.3168
3.28	14.695	4.7095
3.30	14.736	5.5297
3.32	14.775	6.9165
3.34	14.815	5.5462
3.36	14.858	6.2273
3.38	14.897	5.4062
3.40	14.937	7.7289
3.42	14.977	5.6754
3.44	15.017	7.2576
3.46	15.058	10.2005
3.48	15.096	11.4450
3.50	15.137	8.2370
3.52	15.176	8.2682
3.54	15.215	7.7503
3.56	15.250	11.8208
3.58	15.289	11.3539
3.60	15.329	6.8406
3.62	15.368	10.2309
3.64	15.407	10.4895
3.66	15.447	9.3767
3.68	15.486	9.2461
3.70	15.527	9.6025
3.72	15.567	9.6234
3.74	15.605	9.1482
3.76	15.646	10.4343
3.78	15.686	9.7631
3.80	15.727	11.9725
3.82	15.769	12.0070
3.86	15.848	11.5111
3.88	15.887	12.3783
3.90	15.925	12.4463
3.92	15.965	12.4436
3.94	15.999	12.3931
3.96	16.038	11.4599
3.98	16.070	10.4089
4.00	16.103	11.9464
4.02	16.138	10.8193
4.04	16.160	12.3008
4.06	16.182	12.8256
4.08	16.202	12.9898
4.10	16.222	12.6632
4.12	16.241	12.8185
4.14	16.260	12.4252
4.16	16.278	12.9976
4.18	16.296	12.4462
4.20	16.314	12.1720
4.22	16.332	12.3609
4.24	16.348	12.0997
4.26	16.367	12.1260
4.28	16.385	11.6185
4.30	16.401	13.5388
4.32	16.418	12.3075
4.34	16.437	14.6602
4.36	16.455	15.0033
4.38	16.472	14.8631
4.40	16.491	14.8829
4.42	16.507	14.0554
4.44	16.525	12.4240
4.46	16.542	11.9888
4.48	16.560	11.6423
4.50	16.579	10.4634
4.52	16.596	9.5814
4.54	16.614	9.8078
4.56	16.632	11.3912
4.58	16.650	11.9881
4.60	16.667	15.1890
4.62	16.685	14.0177
4.64	16.704	14.9629
4.66	16.722	15.6872
4.68	16.741	9.4222
4.70	16.760	13.1490
4.72	16.779	14.3424
4.74	16.799	12.9062
4.76	16.816	5.1159
4.78	16.834	10.0043
4.80	16.852	11.3177
4.82	16.869	13.5702
4.86	16.904	9.3683
4.88	16.922	9.3108
4.90	16.941	9.3339
4.92	16.959	10.0303
4.94	16.978	10.5485
4.96	16.996	8.4886
4.98	17.013	9.2006
5.00	17.032	10.8103
5.02	17.047	10.4890
5.04	17.065	13.1627
5.06	17.083	9.3449
5.08	17.100	8.6743
5.10	17.117	14.3677
5.12	17.134	13.3981
5.14	17.150	11.7550
5.16	17.166	12.5746
5.18	17.182	9.4339
5.20	17.199	12.3899
5.22	17.217	15.2668
5.24	17.234	9.4592
5.26	17.249	12.6766
