/* DATA DESCRIPTION:
Citation:	Mulitza, Stefan; Chiessi, Cristiano Mazur; Schefuß, Enno; Lippold, Jörg; Wichmann, David; Antz, Benny; Mackensen, Andreas; Paul, André; Prange, Matthias; Rehfeld, Kira; Werner, Martin; Bickert, Torsten; Frank, Norbert; Kuhnert, Henning; Lynch-Stieglitz, Jean; Portilho-Ramos, Rodrigo Costa; Sawakuchi, André Oliveira; Schulz, Michael; Schwenk, Tilmann; Tiedemann, Ralf; Vahlenkamp, Maximilian; Zhang, Yancheng (2017): Age model of sediment core GeoB16202-2. PANGAEA, https://doi.org/10.1594/PANGAEA.877639, 
	In supplement to: Mulitza, Stefan; Schefuß, Enno; Chiessi, Cristiano Mazur; Lippold, Jörg; Wichmann, David; Antz, Benny; Mackensen, Andreas; Paul, André; Prange, Matthias; Rehfeld, Kira; Werner, Martin; Bickert, Torsten; Frank, Norbert; Kuhnert, Henning; Lynch-Stieglitz, Jean; Portilho-Ramos, Rodrigo Costa; Sawakuchi, André Oliveira; Schulz, Michael; Schwenk, Tilmann; Tiedemann, Ralf; Vahlenkamp, Maximilian; Zhang, Yancheng (2017): Synchronous and proportional deglacial changes in Atlantic meridional overturning and northeast Brazilian precipitation. Paleoceanography, https://doi.org/10.1002/2017PA003084
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
Coverage:	LATITUDE: -1.908333 * LONGITUDE: -41.591667
	DATE/TIME START: 2012-02-22T15:41:00 * DATE/TIME END: 2012-02-22T15:41:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 7.63 m
Event(s):	GeoB16202-2 (053-2) * LATITUDE: -1.908333 * LONGITUDE: -41.591667 * DATE/TIME: 2012-02-22T15:41:00 * ELEVATION: -2248.0 m * Recovery: 7.73 m * LOCATION: Continental Slope Northeast Brazil * CAMPAIGN: MSM20/3 (AMADEUS) (URI: https://doi.org/10.2312/cr_msm20_3) * BASIS: Maria S. Merian (URI: https://en.wikipedia.org/wiki/RV_Maria_S._Merian) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: Geology, 773 cm
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html) * METHOD/DEVICE: Age, 14C calibrated, IntCal13 with Bacon 2.2 (Blaauw and Christen, 2011) * COMMENT: median
	Age, minimum/young [ka] (Age min) * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html) * METHOD/DEVICE: Age, 14C calibrated, IntCal13 with Bacon 2.2 (Blaauw and Christen, 2011) * COMMENT: Q0.025
	Age, maximum/old [ka] (Age max) * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html) * METHOD/DEVICE: Age, 14C calibrated, IntCal13 with Bacon 2.2 (Blaauw and Christen, 2011) * COMMENT: Q0.975
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1524 data points
*/
Depth [m]	Age [ka BP]	Age min [ka]	Age max [ka]
0.02	1.141	0.771	1.450
0.03	1.175	0.857	1.469
0.04	1.210	0.931	1.489
0.05	1.246	0.992	1.513
0.06	1.284	1.044	1.547
0.07	1.324	1.077	1.600
0.08	1.389	1.125	1.706
0.09	1.450	1.159	1.857
0.10	1.509	1.190	2.010
0.11	1.567	1.216	2.194
0.12	1.623	1.243	2.377
0.13	1.718	1.282	2.575
0.14	1.810	1.317	2.817
0.15	1.898	1.348	3.085
0.16	1.987	1.374	3.352
0.17	2.071	1.399	3.644
0.18	2.204	1.452	3.787
0.19	2.336	1.495	3.957
0.20	2.466	1.532	4.275
0.21	2.593	1.572	4.591
0.22	2.717	1.604	4.953
0.23	2.889	1.668	5.053
0.24	3.048	1.729	5.154
0.25	3.192	1.786	5.267
0.26	3.328	1.842	5.393
0.27	3.467	1.894	5.526
0.28	3.611	1.992	5.567
0.29	3.759	2.078	5.609
0.30	3.908	2.164	5.653
0.31	4.046	2.236	5.708
0.32	4.178	2.307	5.784
0.33	4.311	2.458	5.807
0.34	4.450	2.611	5.831
0.35	4.592	2.756	5.855
0.36	4.726	2.907	5.889
0.37	4.851	3.041	5.966
0.38	4.967	3.294	5.981
0.39	5.098	3.510	6.002
0.40	5.231	3.683	6.025
0.41	5.369	3.858	6.052
0.42	5.502	4.015	6.104
0.43	5.571	4.320	6.118
0.44	5.647	4.554	6.134
0.45	5.724	4.768	6.154
0.46	5.807	4.951	6.178
0.47	5.896	5.126	6.222
0.48	5.945	5.398	6.241
0.49	5.997	5.628	6.263
0.50	6.064	5.768	6.295
0.51	6.136	5.826	6.416
0.52	6.197	5.862	6.638
0.53	6.245	5.901	6.705
0.54	6.288	5.933	6.810
0.55	6.328	5.961	6.931
0.56	6.366	5.985	7.063
0.57	6.404	6.006	7.223
0.58	6.450	6.035	7.274
0.59	6.492	6.057	7.334
0.60	6.537	6.078	7.407
0.61	6.579	6.095	7.489
0.62	6.620	6.114	7.576
0.63	6.669	6.146	7.621
0.64	6.717	6.175	7.657
0.65	6.765	6.200	7.712
0.66	6.811	6.221	7.767
0.67	6.858	6.240	7.823
0.68	6.913	6.272	7.854
0.69	6.966	6.296	7.889
0.70	7.016	6.323	7.928
0.71	7.067	6.348	7.988
0.72	7.117	6.370	8.058
0.73	7.167	6.404	8.079
0.74	7.220	6.442	8.100
0.75	7.269	6.471	8.133
0.76	7.318	6.499	8.184
0.77	7.368	6.528	8.245
0.78	7.419	6.565	8.267
0.79	7.468	6.614	8.286
0.80	7.517	6.647	8.319
0.81	7.564	6.679	8.354
0.82	7.611	6.716	8.396
0.83	7.655	6.763	8.418
0.84	7.706	6.805	8.437
0.85	7.754	6.846	8.461
0.86	7.800	6.882	8.496
0.87	7.844	6.921	8.536
0.88	7.892	6.980	8.557
0.89	7.941	7.038	8.580
0.90	7.990	7.090	8.604
0.91	8.035	7.135	8.636
0.92	8.076	7.178	8.665
0.93	8.117	7.259	8.681
0.94	8.160	7.338	8.703
0.95	8.204	7.404	8.723
0.96	8.247	7.467	8.745
0.97	8.286	7.525	8.778
0.98	8.324	7.639	8.793
0.99	8.360	7.751	8.811
1.00	8.397	7.850	8.834
1.01	8.437	7.932	8.863
1.02	8.477	8.010	8.898
1.03	8.510	8.144	8.919
1.04	8.544	8.261	8.941
1.05	8.584	8.364	8.969
1.06	8.628	8.415	9.013
1.07	8.671	8.444	9.071
1.08	8.713	8.468	9.123
