depth_cm,TiCa_1,FeK_1,depth_cm2,TiCa_2,FeK_2,depth_cm3,TiCa_3,FeK_3,Depth_cm_4,TiCa4,FeK4,depth_cm5,TiCa5,FeK5
15.2,0.02,38.21,645.4,0.35,73.10,1293.0,0.67,99.05,1914.4,0.19,51.59,2534.0,0.42,60.74
15.4,0.01,39.42,645.6,0.48,71.23,1293.2,0.66,99.14,1914.6,0.20,51.76,2534.2,0.41,60.70
15.6,0.02,40.28,645.8,0.44,68.61,1293.4,0.67,98.83,1914.8,0.21,52.17,2534.4,0.36,60.64
15.8,0.02,41.58,646.0,0.54,66.00,1293.6,0.58,98.11,1915.0,0.20,52.58,2534.6,0.39,60.43
16.0,0.02,42.03,646.2,0.41,63.95,1293.8,0.52,97.04,1915.2,0.25,52.69,2534.8,0.36,60.01
16.2,0.01,41.86,646.4,0.35,62.72,1294.0,0.52,95.62,1915.4,0.19,52.31,2535.0,0.37,59.42
16.4,0.01,41.19,646.6,0.37,62.55,1294.2,0.55,93.96,1915.6,0.22,51.54,2535.2,0.31,58.87
16.6,0.01,40.55,646.8,0.42,64.10,1294.4,0.55,92.39,1915.8,0.21,50.64,2535.4,0.40,58.61
16.8,0.01,40.46,647.0,0.32,67.82,1294.6,0.45,91.24,1916.0,0.16,49.96,2535.6,0.30,58.77
17.0,0.02,41.09,647.2,0.34,73.23,1294.8,0.43,90.64,1916.2,0.20,49.79,2535.8,0.33,59.26
17.2,0.01,42.23,647.4,0.38,78.92,1295.0,0.45,90.45,1916.4,0.21,50.12,2536.0,0.36,59.84
17.4,0.01,43.57,647.6,0.44,82.88,1295.2,0.43,90.40,1916.6,0.27,50.74,2536.2,0.32,60.19
17.6,0.01,44.94,647.8,0.49,83.42,1295.4,0.48,90.28,1916.8,0.22,51.36,2536.4,0.35,60.14
17.8,0.02,46.24,648.0,0.35,80.17,1295.6,0.49,90.11,1917.0,0.21,51.75,2536.6,0.32,59.72
18.0,0.01,47.25,648.2,0.35,74.40,1295.8,0.42,90.37,1917.2,0.20,51.79,2536.8,0.30,59.18
18.2,0.01,47.67,648.4,0.32,68.15,1296.0,0.42,91.64,1917.4,0.24,51.49,2537.0,0.29,58.76
18.4,0.02,47.31,648.6,0.35,63.33,1296.2,0.33,94.14,1917.6,0.24,51.05,2537.2,0.32,58.74
18.6,0.02,46.36,648.8,0.26,60.85,1296.4,0.40,97.43,1917.8,0.22,50.63,2537.4,0.28,59.30
18.8,0.02,45.63,649.0,0.30,60.37,1296.6,0.39,100.52,1918.0,0.23,50.29,2537.6,0.36,60.41
19.0,0.01,46.34,649.2,0.31,60.75,1296.8,0.41,102.25,1918.2,0.23,50.01,2537.8,0.31,61.79
19.2,0.02,49.51,649.4,0.28,60.97,1297.0,0.33,101.87,1918.4,0.19,49.69,2538.0,0.35,62.97
19.4,0.02,55.13,649.6,0.31,60.66,1297.2,0.39,99.56,1918.6,0.19,49.24,2538.2,0.29,63.45
19.6,0.02,62.08,649.8,0.32,59.84,1297.4,0.40,96.15,1918.8,0.19,48.69,2538.4,0.34,62.88
19.8,0.02,68.56,650.0,0.35,58.89,1297.6,0.47,92.70,1919.0,0.15,48.16,2538.6,0.35,61.23
20.0,0.03,73.53,650.2,0.32,58.18,1297.8,0.40,89.92,1919.2,0.15,47.77,2538.8,0.28,58.82
20.2,0.03,77.52,650.4,0.31,57.89,1298.0,0.38,88.06,1919.4,0.17,47.57,2539.0,0.26,56.20
20.4,0.04,82.37,650.6,0.27,57.88,1298.2,0.39,86.87,1919.6,0.19,47.53,2539.2,0.25,53.86
20.6,0.06,89.77,650.8,0.26,57.89,1298.4,0.45,86.00,1919.8,0.15,47.56,2539.4,0.26,52.10
20.8,0.05,99.76,651.0,0.28,57.63,1298.6,0.33,85.29,1920.0,0.17,47.54,2539.6,0.22,50.98
21.0,0.15,110.74,651.2,0.29,57.08,1298.8,0.40,84.69,1920.2,0.16,47.40,2539.8,0.24,50.39
21.2,0.50,120.06,651.4,0.27,56.48,1299.0,0.35,84.16,1920.4,0.16,47.18,2540.0,0.24,50.21
21.4,0.24,125.70,651.6,0.31,55.99,1299.2,0.37,83.62,1920.6,0.17,46.96,2540.2,0.27,50.27
21.6,0.70,127.03,651.8,0.28,55.66,1299.4,0.41,83.03,1920.8,0.15,46.76,2540.4,0.25,50.41
