Depth (cm),Age (ka BP),Ti/Ca
0.5,0.587,0.009
1,0.679,0.010
1.5,0.771,0.009
2,0.863,0.009
2.5,0.955,0.009
3,1.047,0.008
3.5,1.139,0.008
4,1.231,0.009
4.5,1.323,0.008
5,1.415,0.008
5.5,1.506,0.008
6,1.598,0.007
6.5,1.690,0.009
7,1.782,0.009
7.5,1.874,0.009
8,1.966,0.009
8.5,2.058,0.009
9,2.150,0.010
9.5,2.242,0.009
10,2.334,0.009
10.5,2.426,0.009
11,2.518,0.009
11.5,2.610,0.010
12,2.702,0.010
12.5,2.794,0.010
13,2.886,0.010
13.5,2.978,0.010
14,3.070,0.010
14.5,3.161,0.010
15,3.253,0.011
15.5,3.345,0.011
16,3.437,0.010
16.5,3.529,0.009
17,3.621,0.010
17.5,3.713,0.010
18,3.805,0.010
18.5,3.897,0.010
19,3.989,0.011
19.5,4.081,0.010
20,4.173,0.010
20.5,4.265,0.010
21,4.357,0.010
21.5,4.449,0.010
22,4.541,0.010
22.5,4.633,0.011
23,4.724,0.011
23.5,4.816,0.011
24,4.908,0.011
24.5,5.000,0.011
25,5.092,0.011
25.5,5.184,0.011
26,5.276,0.011
26.5,5.368,0.012
27,5.460,0.011
27.5,5.519,0.011
28,5.579,0.011
28.5,5.638,0.011
29,5.697,0.012
29.5,5.756,0.012
30,5.816,0.012
30.5,5.875,0.012
31,5.934,0.012
31.5,5.994,0.012
32,6.053,0.012
32.5,6.112,0.012
33,6.171,0.013
33.5,6.231,0.012
34,6.290,0.013
34.5,6.349,0.013
35,6.408,0.014
35.5,6.468,0.011
36,6.527,0.012
36.5,6.586,0.012
37,6.646,0.012
37.5,6.705,0.012
38,6.764,0.012
38.5,6.823,0.013
39,6.883,0.012
39.5,6.942,0.012
40,7.001,0.011
40.5,7.060,0.009
41,7.120,0.011
41.5,7.179,0.011
42,7.238,0.011
42.5,7.298,0.012
43,7.357,0.012
43.5,7.416,0.012
44,7.475,0.013
44.5,7.535,0.011
45,7.594,0.011
45.5,7.653,0.011
46,7.713,0.011
46.5,7.772,0.013
47,7.831,0.013
47.5,7.890,0.013
48,7.950,0.012
48.5,8.009,0.012
49,8.068,0.013
49.5,8.128,0.014
50,8.187,0.013
50.5,8.246,0.014
51,8.305,0.015
51.5,8.365,0.016
52,8.424,0.015
52.5,8.483,0.015
53,8.542,0.015
53.5,8.602,0.016
54,8.661,0.016
54.5,8.720,0.016
55,8.780,0.017
55.5,8.839,0.017
56,8.898,0.018
56.5,8.957,0.020
57,9.017,0.020
57.5,9.076,0.019
58,9.135,0.020
58.5,9.194,0.021
59,9.254,0.025
59.5,9.313,0.023
60,9.372,0.026
60.5,9.432,0.026
61,9.491,0.029
61.5,9.550,0.025
62,9.609,0.027
62.5,9.669,0.027
63,9.728,0.026
63.5,9.750,0.025
64,9.772,0.029
64.5,9.793,0.026
65,9.815,0.026
65.5,9.837,0.027
66,9.859,0.027
66.5,9.881,0.029
67,9.903,0.031
67.5,9.924,0.033
68,9.946,0.033
68.5,9.968,0.042
69,9.990,0.041
69.5,10.012,0.039
70,10.034,0.038
70.5,10.055,0.037
71,10.077,0.038
71.5,10.099,0.039
72,10.121,0.041
72.5,10.143,0.042
73,10.165,0.044
73.5,10.186,0.044
74,10.208,0.041
74.5,10.230,0.041
75,10.252,0.044
75.5,10.274,0.046
76,10.295,0.050
76.5,10.317,0.049
77,10.339,0.046
77.5,10.361,0.043
78,10.383,0.043
78.5,10.405,0.043
79,10.426,0.043
79.5,10.448,0.046
80,10.470,0.047
80.5,10.492,0.043
81,10.514,0.047
81.5,10.536,0.047
82,10.557,0.050
82.5,10.579,0.052
83,10.601,0.052
83.5,10.623,0.050
84,10.645,0.055
84.5,10.666,0.049
85,10.688,0.054
85.5,10.710,0.049
86,10.732,0.048
86.5,10.754,0.053
87,10.776,0.057
87.5,10.797,0.060
88,10.819,0.060
88.5,10.841,0.055
89,10.863,0.045
89.5,10.885,0.059
90,10.907,0.062
90.5,10.928,0.062
91,10.950,0.059
91.5,10.972,0.063
92,10.994,0.076
92.5,11.016,0.090
93,11.038,0.078
93.5,11.059,0.083
94,11.081,0.096
94.5,11.103,0.111
95,11.125,0.120
95.5,11.147,0.119
96,11.168,0.103
96.5,11.190,0.085
97,11.212,0.070
97.5,11.234,0.069
98,11.256,0.064
98.5,11.278,0.068
99,11.299,0.069
99.5,11.321,0.110
100,11.343,0.139
100.5,11.365,0.158
101,11.387,0.164
101.5,11.409,0.153
102,11.430,0.166
102.5,11.452,0.163
103,11.474,0.165
103.5,11.496,0.175
104,11.518,0.171
104.5,11.540,0.170
105,11.561,0.166
105.5,11.583,0.178
106,11.605,0.164
106.5,11.627,0.181
107,11.649,0.173
107.5,11.670,0.150
108,11.692,0.122
108.5,11.714,0.147
109,11.736,0.136
109.5,11.758,0.138
110,11.780,0.144
110.5,11.801,0.172
111,11.823,0.163
111.5,11.845,0.168
112,11.867,0.180
112.5,11.889,0.178
113,11.911,0.177
113.5,11.932,0.173
114,11.954,0.170
114.5,11.976,0.148
115,11.998,0.175
115.5,12.020,0.177
116,12.041,0.167
116.5,12.063,0.156
117,12.085,0.171
117.5,12.107,0.152
118,12.129,0.127
118.5,12.151,0.124
119,12.172,0.153
119.5,12.194,0.161
120,12.216,0.140
120.5,12.238,0.125
121,12.260,0.139
121.5,12.282,0.147
122,12.303,0.150
122.5,12.325,0.150
123,12.347,0.163
123.5,12.369,0.156
124,12.391,0.136
124.5,12.413,0.146
125,12.434,0.153
125.5,12.456,0.157
126,12.478,0.143
126.5,12.504,0.100
127,12.530,0.137
127.5,12.556,0.103
128,12.582,0.085
128.5,12.609,0.139
129,12.635,0.165
129.5,12.661,0.161
130,12.687,0.135
130.5,12.713,0.145
131,12.739,0.137
131.5,12.765,0.107
132,12.791,0.126
132.5,12.817,0.125
133,12.844,0.131
133.5,12.870,0.129
134,12.896,0.125
134.5,12.922,0.119
135,12.948,0.113
135.5,12.974,0.110
136,13.000,0.102
136.5,13.026,0.108
137,13.052,0.110
137.5,13.079,0.103
138,13.105,0.084
138.5,13.131,0.078
139,13.157,0.084
139.5,13.183,0.080
140,13.209,0.073
140.5,13.235,0.071
141,13.261,0.078
141.5,13.288,0.079
142,13.314,0.078
142.5,13.340,0.075
143,13.366,0.071
143.5,13.392,0.072
144,13.418,0.077
144.5,13.444,0.085
145,13.470,0.078
145.5,13.496,0.068
146,13.523,0.065
146.5,13.549,0.064
147,13.575,0.064
147.5,13.601,0.067
148,13.627,0.063
148.5,13.653,0.065
149,13.679,0.066
149.5,13.705,0.060
150,13.731,0.063
150.5,13.758,0.065
151,13.784,0.063
151.5,13.810,0.065
152,13.836,0.062
152.5,13.862,0.060
153,13.888,0.068
153.5,13.914,0.069
154,13.940,0.067
154.5,13.966,0.066
155,13.993,0.067
155.5,14.019,0.059
156,14.045,0.064
156.5,14.071,0.063
157,14.097,0.066
157.5,14.123,0.074
158,14.149,0.071
158.5,14.175,0.073
159,14.202,0.071
159.5,14.228,0.076
160,14.254,0.087
160.5,14.280,0.098
161,14.306,0.108
161.5,14.332,0.116
162,14.358,0.130
162.5,14.384,0.144
163,14.410,0.141
163.5,14.437,0.137
164,14.463,0.157
164.5,14.489,0.171
165,14.515,0.174
165.5,14.541,0.180
166,14.567,0.207
166.5,14.593,0.223
167,14.619,0.195
167.5,14.645,0.149
168,14.672,0.150
168.5,14.698,0.156
169,14.724,0.147
169.5,14.750,0.157
170,14.776,0.169
,,
218,29.062,0.410
218.5,29.069,0.362
219,29.077,0.376
219.5,29.084,0.424
220,29.092,0.454
220.5,29.099,0.323
221,29.107,0.365
221.5,29.114,0.425
222,29.122,0.402
222.5,29.129,0.367
223,29.137,0.341
223.5,29.144,0.360
224,29.152,0.388
224.5,29.159,0.368
225,29.167,0.464
225.5,29.174,0.436
226,29.182,0.497
226.5,29.189,0.457
227,29.197,0.416
227.5,29.204,0.384
228,29.212,0.455
228.5,29.219,0.530
229,29.227,0.545
229.5,29.234,0.529
230,29.242,0.488
230.5,29.249,0.459
231,29.257,0.445
231.5,29.264,0.472
232,29.272,0.550
232.5,29.279,0.564
233,29.287,0.561
233.5,29.294,0.562
234,29.302,0.535
234.5,29.309,0.518
235,29.317,0.532
235.5,29.324,0.463
236,29.332,0.426
236.5,29.339,0.413
237,29.347,0.430
237.5,29.354,0.480
238,29.362,0.507
238.5,29.369,0.483
239,29.377,0.448
239.5,29.384,0.424
240,29.392,0.434
240.5,29.399,0.426
241,29.407,0.451
241.5,29.414,0.429
242,29.422,0.409
242.5,29.429,0.337
243,29.437,0.321
243.5,29.444,0.357
244,29.452,0.314
244.5,29.459,0.370
245,29.467,0.288
245.5,29.474,0.378
246,29.482,0.372
246.5,29.489,0.357
247,29.497,0.335
247.5,29.504,0.309
248,29.512,0.352
248.5,29.519,0.390
249,29.527,0.440
249.5,29.534,0.450
250,29.542,0.437
250.5,29.549,0.551
251,29.557,0.489
251.5,29.564,0.493
252,29.572,0.488
252.5,29.579,0.472
253,29.587,0.461
253.5,29.594,0.472
254,29.602,0.525
254.5,29.609,0.501
255,29.617,0.439
255.5,29.624,0.521
256,29.632,0.455
256.5,29.639,0.554
257,29.647,0.567
257.5,29.654,0.514
258,29.662,0.499
258.5,29.669,0.582
259,29.677,0.653
259.5,29.684,0.598
260,29.692,0.647
260.5,29.699,0.656
261,29.707,0.654
261.5,29.714,0.625
262,29.722,0.660
262.5,29.729,0.671
263,29.737,0.699
263.5,29.744,0.680
264,29.752,0.572
264.5,29.759,0.603
265,29.767,0.594
265.5,29.774,0.614
266,29.782,0.613
266.5,29.789,0.509
267,29.797,0.570
267.5,29.804,0.467
268,29.812,0.375
268.5,29.819,0.357
269,29.827,0.347
269.5,29.834,0.318
270,29.842,0.306
270.5,29.849,0.326
271,29.857,0.305
271.5,29.864,0.237
272,29.872,0.182
273.5,29.894,0.193
274,29.902,0.194
274.5,29.909,0.170
275,29.917,0.175
275.5,29.924,0.179
276,29.932,0.194
276.5,29.939,0.176
277,29.947,0.161
277.5,29.954,0.165
278,29.962,0.151
278.5,29.969,0.159
279,29.976,0.160
279.5,29.984,0.164
280,29.991,0.171
280.5,29.999,0.166
281,30.006,0.169
281.5,30.014,0.202
282,30.021,0.208
282.5,30.029,0.163
283,30.036,0.140
283.5,30.044,0.150
284,30.051,0.160
284.5,30.059,0.207
285,30.066,0.199
285.5,30.074,0.222
286,30.081,0.230
286.5,30.089,0.202
287,30.096,0.212
287.5,30.104,0.210
288,30.111,0.236
288.5,30.119,0.247
289,30.126,0.246
289.5,30.134,0.234
290,30.141,0.224
290.5,30.149,0.162
291,30.156,0.156
291.5,30.164,0.205
292,30.171,0.221
292.5,30.179,0.202
293,30.186,0.191
293.5,30.194,0.188
294,30.201,0.194
294.5,30.209,0.198
295,30.216,0.195
295.5,30.224,0.182
296,30.231,0.178
296.5,30.239,0.181
297,30.246,0.183
297.5,30.254,0.169
298,30.261,0.169
298.5,30.269,0.175
299,30.276,0.175
299.5,30.284,0.168
300,30.291,0.184
300.5,30.299,0.175
301,30.306,0.166
301.5,30.314,0.159
302,30.321,0.136
302.5,30.329,0.151
303,30.336,0.138
303.5,30.344,0.131
304,30.351,0.136
304.5,30.359,0.131
305,30.366,0.135
305.5,30.374,0.128
306,30.381,0.119
306.5,30.389,0.121
307,30.396,0.112
307.5,30.404,0.106
308,30.411,0.108
308.5,30.419,0.113
309,30.426,0.111
309.5,30.434,0.108
310,30.441,0.109
310.5,30.449,0.103
311,30.456,0.105
311.5,30.464,0.111
312,30.471,0.111
312.5,30.479,0.115
313,30.486,0.112
313.5,30.494,0.113
314,30.501,0.110
314.5,30.509,0.107
